index,disease_name,description,Possible Steps,image_url
0,Apple : Scab,"Apple scab is the most common disease of apple and crabapple trees in Minnesota.
Scab is caused by a fungus that infects both leaves and fruit.
Scabby fruit are often unfit for eating.
Infected leaves have olive green to brown spots.
Leaves with many leaf spots turn yellow and fall off early.
Leaf loss weakens the tree when it occurs many years in a row.
Planting disease resistant varieties is the best way to manage scab.","Choose resistant varieties when possible.
Rake under trees and destroy infected leaves to reduce the number of fungal spores available to start the disease cycle over again next spring.
Water in the evening or early morning hours (avoid overhead irrigation) to give the leaves time to dry out before infection can occur.
Spread a 3- to 6-inch layer of compost under trees, keeping it away from the trunk, to cover soil and prevent splash dispersal of the fungal spores.
For best control, spray liquid copper soap early, two weeks before symptoms normally appear. Alternatively, begin applications when disease first appears, and repeat at 7 to 10 day intervals up to blossom drop.",https://extension.umn.edu/sites/extension.umn.edu/files/apple-scab-1.jpg
1,Apple : Black Rot,"Leaf symptoms first occur early in the spring when the leaves are unfolding.
They appear as small, purple specks on the upper surface of the leaves that enlarge into circular lesions 1/8 to 1/4 inch (3-6 mm) in diameter.
The margin of the lesions remains purple, while the center turns tan to brown. In a few weeks, secondary enlargement of these leaf spots occurs.
Heavily infected leaves become chlorotic and defoliation occurs.
As the rotted area enlarges, a series of concentric bands of uniform width form which alternate in color from black to brown. The flesh of the rotted area remains firm and leathery. Black pycnidia are often seen on the surface of the infected fruit.","Remove the cankers by pruning at least 15 inches below the end and burn or bury them. Also take preventative care with new season prunings and burn them, too.You are better off pruning during the dormant season. This will minimize the odds that fire blight will infect your tree and produce dead tissue that can easily be infected by Botryosphaeria.You should also take precautions if the bark is damaged by hail, or branches break during a windstorm. Using a copper-based fungicide will protect against both black rot and fire blight.",http://www.omafra.gov.on.ca/english/crops/facts/blackrotf1.jpg
2,Apple : Cedar rust,"Cedar apple rust (Gymnosporangium juniperi-virginianae) is a fungal disease that requires juniper plants to complete its complicated two year life-cycle. Spores overwinter as a reddish-brown gall on young twigs of various juniper species. In early spring, during wet weather, these galls swell and bright orange masses of spores are blown by the wind where they infect susceptible apple and crab-apple trees. The spores that develop on these trees will only infect junipers the following year. From year to year, the disease must pass from junipers to apples to junipers again; it cannot spread between apple trees.","Choose resistant cultivars when available.
Rake up and dispose of fallen leaves and other debris from under trees.
Remove galls from infected junipers. In some cases, juniper plants should be removed entirely.
Apply preventative, disease-fighting fungicides labeled for use on apples weekly, starting with bud break, to protect trees from spores being released by the juniper host. This occurs only once per year, so additional applications after this springtime spread are not necessary.
On juniper, rust can be controlled by spraying plants with a copper solution (0.5 to 2.0 oz/ gallon of water) at least four times between late August and late October.
Safely treat most fungal and bacterial diseases with SERENADE Garden. This broad spectrum bio-fungicide uses a patented strain of Bacillus subtilis that is registered for organic use. Best of all, SERENADE is completely non-toxic to honey bees and beneficial insects.",https://www.planetnatural.com/wp-content/uploads/2012/12/apple-rust.jpg
3,Apple : Healthy,"As with most fruit, apples produce best when grown in full sun, which means six or more hours of direct summer Sun daily.The best exposure for apples is a north side of a house, tree line, or rise rather than the south.Apple trees need well-drained soil, but should be able to retain some moisture.","Apples Are Nutritious. 
Apples May Be Good for Weight Loss.
Apples May Be Good for Your Heart. 
They're Linked to a Lower Risk of Diabetes. 
They May Have Prebiotic Effects and Promote Good Gut Bacteria.
Substances in Apples May Help Prevent Cancer.",https://previews.123rf.com/images/msnobody/msnobody1508/msnobody150800002/43698436-red-apple-on-a-branch-of-an-apple-tree-on-a-sunny-day-organic-farmingagriculture-fresh-healthy-natur.jpg
4,Background Without Leaves,There is no leaf in the given image,please reupload image with leaf,https://cdn.onlinewebfonts.com/svg/img_332817.png
5,Blueberry : Healthy,"Blueberries Are Low in Calories But High in Nutrients. ...
Blueberries are the King of Antioxidant Foods. ...
Blueberries Reduce DNA Damage, Which May Help Protect Against Aging and Cancer. ...
Blueberries Protect Cholesterol in Your Blood From Becoming Damaged. ...
Blueberries May Lower Blood Pressure.","Deep, low pH mulch like peat moss, pine needles or well aged sawdust conserves water and minimizes soil water fluctuations. Water blueberry plants during the day. Keep the soil moist but not soggy. Give them at least 1"" per week during growing season and up to 4"" per week during fruit ripening.The blueberry is a shallow-rooted plant. Therefore, it requires a soil that holds moisture, but also drains well and doesn�t stay wet. Don�t plant blueberries in sites that have heavy, clayey soils that stay wet.",https://image.shutterstock.com/image-photo/blueberry-leaf-collection-isolated-on-260nw-308491814.jpg
6,Cherry : Powdery Mildew,"Initial symptoms, often occurring 7 to 10 days after the onset of the first irrigation, are light roughly-circular, powdery looking patches on young, susceptible leaves (newly unfolded, and light green expanding leaves). Older leaves develop an age-related (ontogenic) resistance to powdery mildew and are naturally more resistant to infection than younger leaves. Look for early leaf infections on root suckers, the interior of the canopy or the crotch of the tree where humidity is high. In contrast to other fungi, powdery mildews do not need free water to germinate but germination and fungal growth are favored by high humidity. The disease is more likely to initiate on the undersides (abaxial) of leaves but will occur on both sides at later stages. As the season progresses and infection is spread by wind, leaves may become distorted, curling upward. Severe infections may cause leaves to pucker and twist. Newly developed leaves on new shoots become progressively smaller, are often pale and may be distorted.","Disinfect the cutting edges, then prune out and discard the diseased portions of the plant immediately. At the same time, apply fungicides to protect the remaining leaves on the fruit tree. You'll need to repeat the fungicide applications according to label instructions to protect the trees over the entire season.",http://treefruit.wsu.edu/wp-content/uploads/2017/05/Fig1.png
7,Cherry : Healthy,"There is no difference in care between sour and sweet cherries.
Apply mulch to retain moisture.
Drape netting over trees to protect the fruit from birds.
Water routinely in dry areas.
Thinning the fruit is not necessary for cherry trees, as they typically thin naturally in early summer.","Packed with nutrients.
Rich in antioxidants and anti-inflammatory compounds.
Can boost exercise recovery.
May benefit heart health.
May improve symptoms of arthritis and gout.
May improve sleep quality.
Easy to add to your diet.",https://previews.123rf.com/images/annafrby/annafrby1907/annafrby190700078/127086189-cherry-on-branch-with-green-leaf-healthy-food-fresh-fruit-two-ripe-berries-of-a-cherry-on-a-branch-l.jpg
8,Corn : Cercospora Leaf Spot | Gray Leaf Spot,"Gray leaf spot on corn, caused by the fungus Cercospora zeae-maydis, is a peren- nial and economically damaging disease in the United States. Since the mid-1990s, the disease has increased in importance in Indiana, and now is the one of the most important foliar diseases of corn in the state.Gray leaf spot disease is caused by the fungus Pyricularia grisea, also referred to as Magnaporthe grisea. The frequent warm rainy periods common in Florida create favorable conditions for this fungal disease. This fungus slows grow-in, thins established stands and can kill large areas of St.","Irrigate deeply, but infrequently.
Avoid using post-emergent weed killers on the lawn while the disease is active.
Avoid medium to high nitrogen fertilizer levels.
Improve air circulation and light level on lawn.
Mow at the proper height and only mow when the grass is dry.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png/330px-Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png
9,Corn : Common Rust,"Although a few rust pustules can always be found in corn fields throughout the growing season, symptoms generally do not appear until after tasseling. These can be easily recognized and distinguished from other diseases by the development of dark, reddish-brown pustules (uredinia) scattered over both the upper and lower surfaces of the corn leaves. These pustules may appear on any above ground part of the plant, but are most abundant on the leaves. Pustules appear oval to elongate in shape, are generally small, less than 1/4 inch long, and are surrounded by the leaf epidermal layer, where it has broken through. ","To reduce the incidence of corn rust, plant only corn that has resistance to the fungus. Resistance is either in the form of race-specific resistance or partial rust resistance. In either case, no sweet corn is completely resistant. If the corn begins to show symptoms of infection, immediately spray with a fungicide.",https://ohioline.osu.edu/sites/ohioline/files/imce/Plant_Pathology/PLNTPTH-CER-02_Figure_1.png
