Crop,N,P,K,pH,soil_moisture
rice,80,40,40,6.5,200
maize,80,40,20,6.5,150
jute,80,40,40,6.5,200
cotton,120,40,20,6.5,150
coconut,20,10,30,6.5,250
papaya,100,50,50,6.5,150
orange,120,40,40,6.5,150
apple,120,40,40,6.5,150
mango,20,20,30,6.5,200
grapes,20,125,200,6.5,150
watermelon,100,50,50,6.5,150
muskmelon,100,50,50,6.5,150
banana,100,75,50,6.5,150
pomegranate,20,10,40,6.5,150
lentil,40,60,20,6.5,150
blackgram,40,60,20,6.5,150
mungbean,20,60,20,6.5,150
mothbeans,20,40,20,6.5,150
pigeonpeas,20,60,20,6.5,150
kidneybeans,20,60,20,6.5,150
chickpea,40,60,20,6.5,150
coffee,100,20,30,6.5,150
tea,100,30,40,5.5,200
sugarcane,150,50,50,6.5,250
tobacco,100,60,80,6.0,150
potato,120,60,60,5.5,200
tomato,120,60,60,6.0,150
pepper,100,50,50,6.0,150
eggplant,100,50,50,6.0,150
cucumber,100,50,50,6.0,150
lettuce,80,40,40,6.0,150
carrot,80,40,40,6.0,150
onion,80,40,40,6.0,150
garlic,80,40,40,6.0,150
ginger,100,50,50,6.0,200
turmeric,100,50,50,6.0,200
cardamom,100,50,50,6.0,200
black pepper,100,50,50,6.0,200
vanilla,100,50,50,6.0,200
cinnamon,100,50,50,6.0,200
nutmeg,100,50,50,6.0,200
clove,100,50,50,6.0,200
cocoa,100,50,50,6.0,200
cashew,100,50,50,6.0,200
peanut,80,40,40,6.0,150
sunflower,80,40,40,6.0,150
soybean,80,40,40,6.0,150
mustard,80,40,40,6.0,150
rapeseed,80,40,40,6.0,150
sesame,80,40,40,6.0,150
flax,80,40,40,6.0,150
hemp,80,40,40,6.0,150
kenaf,80,40,40,6.0,150
ramie,80,40,40,6.0,150
sisal,80,40,40,6.0,150
abaca,80,40,40,6.0,150
bamboo,100,50,50,6.0,200
rattan,100,50,50,6.0,200
palm,100,50,50,6.0,200
date palm,100,50,50,6.0,200
oil palm,100,50,50,6.0,200
areca palm,100,50,50,6.0,200
betel nut,100,50,50,6.0,200
coconut,100,50,50,6.0,200
banana,100,50,50,6.0,200
pineapple,100,50,50,5.5,150
guava,100,50,50,6.0,150
lychee,100,50,50,6.0,150
longan,100,50,50,6.0,150
rambutan,100,50,50,6.0,150
durian,100,50,50,6.0,150
mangosteen,100,50,50,6.0,150
soursop,100,50,50,6.0,150
custard apple,100,50,50,6.0,150
star fruit,100,50,50,6.0,150
dragon fruit,100,50,50,6.0,150
passion fruit,100,50,50,6.0,150
kiwi,100,50,50,6.0,150
fig,100,50,50,6.0,150
persimmon,100,50,50,6.0,150
mulberry,100,50,50,6.0,150
blueberry,100,50,50,5.0,150
cranberry,100,50,50,5.0,150
raspberry,100,50,50,6.0,150
blackberry,100,50,50,6.0,150
gooseberry,100,50,50,6.0,150
currant,100,50,50,6.0,150
elderberry,100,50,50,6.0,150
serviceberry,100,50,50,6.0,150
juneberry,100,50,50,6.0,150
huckleberry,100,50,50,5.0,150
lingonberry,100,50,50,5.0,150
cloudberry,100,50,50,5.0,150
salmonberry,100,50,50,5.0,150
wineberry,100,50,50,6.0,150
boysenberry,100,50,50,6.0,150
loganberry,100,50,50,6.0,150
tayberry,100,50,50,6.0,150
marionberry,100,50,50,6.0,150
olallieberry,100,50,50,6.0,150
youngberry,100,50,50,6.0,150
dewberry,100,50,50,6.0,150
